indite, 里面in有一点dite墨水就可以创作,
niggle, 你够了，这么琐碎的事都挑剔,
rejoinder, 再次加入的律师才能进行反驳,
flatulence,  气多的,
scramble, scream amble尖叫着却在漫步，怎么能在攀登比赛中争夺第一呢,
welsh, 威尔士人爱赖账,
disport, 什么都不带，就玩吧，让自己快乐就好,
wail,  我i 站l在 wall边哀号、哀叹,
beguile,  be guile是狡猾的人就爱欺骗别人,
condign," con dign高贵, 一起变得高贵， 这是我们最有应得的， ",
canard canary, canary makes canard  金丝雀会造谣,
sheaf, 一捆的媳妇,
eligible,  有资格的,
expiation,  前一个馅饼你必须补偿我，向我赔罪,
upsurge,   surge浪潮 ,
queasy,  que排队不easy， 让人恶心、呕吐,
abstinent, abstain抑制 有节制的。抑制abstain一a下，成为有节制的人,
latch, 拉去堵门，当门栓,
bullion,  sell bulls to get bullions,
defray, 想自己定义def 射线就得付款,
gruff,  rough 哥g 的声音很rough,
gauche, 搞车的人都太笨拙了。,
bludgeon, 不拉筋会被大棒打,
lore, 天上 落 知识,
sequestrate,  看see到我寻找quest的东西了吗，不会是被你没收了吧,
homily,  在家home才能教训、 训诫别人,
mallet, 商场mall都让let他拿 木棒 砸了,
scoot, ,
careen, 注意care使en船别 倾斜,
maim, 主要是残疾了。,
haggard,  hag巫婆面容憔悴。,
endue, 使应得-- 赋予,
dissociate,  dis + social + ate 分离、 游离,
villain, (恶棍),
mesmerize,   memorise记忆靠催眠唤起。,
sheen,  shine 照耀后有光泽,
fiend, 差一点就和魔鬼成了朋友,
detest, det行列式是最让人憎恨的,
overweening,  自负的，过于自信的 over(过分)+ween(想象)+ing→过分想象自己的伟大,
bounteous,  慷慨的；丰富的  bount=bon(好)+eous→好的→慷慨的,
winkle, 我十分艰难地从美女的winkle中恢复过来,
squeamish squeue,
tremulous  tremor,
morass,  人生或多或少有点困境， 掉沼泽一样,
brickle prickle,  prick 刺 ， 刺了le一下会痛， 不b 小心就 易碎,
amputate,   am+put(切除)+ate→切除 ,
reconnoiter,   重新连一下去侦察,
shack  shackle,  住在小棚屋了， 简直就像戴镣铐。,
scarp, 伤疤也能p成悬崖。,
retentive,  再进帐篷，就有好记性。,
excogitate,   ex+cogitate(思考)→想出,
impute,  我是单纯的人，不会归咎别人的,
congruent,,
hedonic,  喝多的你可是太会 享乐的人了。,
avowal, ,
poach,  ,
pathos,  中国还没有上路path操作系统os， 真让人感伤 ,
culprit, ,
gangle,  赶狗只赶过分瘦的和动作笨拙的。,
infliction, ,
dastard,  懦夫是不敢打死他的,
snappy,   死那匹马不会影响我， 还是那么精力充沛。,make it snappy!让它it死那匹马
matriculate,  矩阵要招入大学才学。,
beseech,    我是在找东西， 恳请你也帮找。,
sundry,  太阳晒干各种杂货,
trawl ,太弱了，连用网捕鱼都不会,
shuffle,  吓服别人就靠洗牌技术，但他推诿着拖着脚走了。,
zest,   酵母这东西非常有热心， 调味非常棒,
wizen,   聪明的人不死s，但会枯萎（谢顶）， wither 音近意思近
visceral,  看得到vis内侧cer的al 内脏的，本能的,
vicissitude, 副vice总就是is坐姿sit很土tu的de那个，他历尽公司变化兴衰荣辱。
dispute,  辩论是不会单纯的,
straggle,  你u很努力地奋斗， 但仍然成了一个散乱、掉队、 迷路之人,
scutter,  死s了一个裁缝cutter ， 快跑， 疾走！ ,
scission scissor, 剪刀， 切断、分离,
sate,  使满意、 饱 刚才坐着sat 打嗝e， 确实使我很满意、吃得很饱,
saccharine,  麻袋sack 没可k能 装炭char 就变 非常甜，这样做的人很做作,
prissy  prise, 为奖赏这小事挂虑，以至于成神经质的样子就不值得了。,
